authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,type_mapping,packet
"Ribak CE, Vaughn JE, Saito K",75042,,,10.1016/0006-8993(78)90463-8,,,315,332,Immunocytochemical localization of glutamic acid decarboxylase in neuronal somata following colchicine inhibition of axonal transport. ,1978 Jan 27,Brain Res,140,,0
Gaarskjaer FB,75894,,,10.1002/cne.901780105,,,73,88,Organization of the mossy fiber system of the rat studied in extended hippocampi. II. Experimental analysis of fiber distribution with silver impregnation methods,1978 Mar 1,J Comp Neurol,178,,0
Gaarskjaer FB,632370,,,10.1002/cne.901780104,,,49,72,Organization of the mossy fiber system of the rat studied in extended hippocampi. I. Terminal area related to number of granule and pyramidal cells,1978 Mar 1,J Comp Neurol,178,,0
"Struble RG, Desmond NL, Levy WB",687975,,,10.1016/0006-8993(78)91113-7,,,580,585,Anatomical evidence for interlamellar inhibition in the fascia dentata,1978 Sep 8,Brain Res,152,1033: DG:BC: Dentate gyrus basket-cells,1
Amaral DG,730852,,,10.1002/cne.901820508,,,851,914,A Golgi study of cell types in the hilar region of the hippocampus in the rat,1978 Dec 15,J Comp Neurol,182,1002: DG:MC: Dentate gyrus mossy cell,1
"Cassell MD, Brown MW",916815,,,10.1016/0024-3205(77)90119-9,,,1187,1191,Cell counts for the stratum pyramidale of the hippocampus of the rat,1977 Oct 15,Life Sci,21,,0
Somogyi P,922488,,,10.1016/0006-8993(77)90808-3,,,345,350,A specific axo-axonal' interneuron in the visual cortex of the rat. axo-axonal interneuron in the visual cortex of the rat. interneuron in the visual cortex of the rat,1977 Nov 11,Brain Res,136,,1
"Steward O, Scoville SA",972204,,,10.1002/cne.901690306,,,347,370,Cells of origin of entorhinal cortical afferents to the hippocampus and fascia dentata of the rat,1976 Oct 1,J Comp Neurol,169,"6092: EC:PC_III: EC layer III cells, fibers from the medial entorhinal region, entorhinal projection system ### 6017: EC:PC_III_sm: EC layer II cells of pyramidal form",1
"Schlessinger AR, Cowan WM, Gottlieb DI",1112911,,,10.1002/cne.901590202,,,149,175,An autoradiographic study of the time of origin and the pattern of granule cell migration in the dentate gyrus of the rat,1975 Jan 15,J Comp Neurol,159,,0
Steward O,1270625,,,10.1002/cne.901670303,,,285,314,Topographic organization of the projections from the entorhinal area to the hippocampal formation of the rat,1976 Jun 1,J Comp Neurol,167,6092: EC:PC_III: projections of the entorhinal area to regio superior ### 6017: EC:PC_III_sm: EC projections,1
"Toth K, Freund TF",1279455,,,10.1016/0306-4522(92)90357-8,,,793,805,Calbindin D28k-containing nonpyramidal cells in the rat hippocampus: their immunoreactivity for GABA and projection to the medial septum,1992 Aug,Neuroscience,49,"2023: CA3:R-CB: CA3 calbindin D28k-containing non-pyramidal cells, CA3 calbindin D28k-immunoreactive non-pyramidal cells, CA3 CaBP-positive neurons, CA3 calbindin D28k-positive non-pyramidal cells ### 2022: CA3:CB: CA3 calbindin D28k-containing non-pyramidal cells, CA3 calbindin D28k-immunoreactive non-pyramidal cells, CA3 CaBP-positive neurons, CA3 calbindin D28k-positive non-pyramidal cells ### 4028: CA1:SCA-SR-CB: CA1 calbindin D28k-containing non-pyramidal cells, CA1 calbindin D28k-immunoreactive non-pyramidal cells, CA1 CaBP-positive neurons, CA1 calbindin D28k-positive non-pyramidal cells ### 4033: CA1:CB-SOSO: CA1 calbindin D28l-immunoreactive non-pyramidal cells, CA1 CaBP-containing non-pyramidal cells, CA1 CaBP-positive non-pyramidal cells ### 2018: CA3:RL_CB: CA3 calbindin D28k-containing nonpyramidal cells ### 4064: CA1:CB-PPA: CA1 CaBP-positive neurons ### 4048: CA1:bi_CB: CA1 CaBP-positive neurons",1
"Buckmaster PS, Strowbridge BW, Kunkel DD, Schmiege DL, Schwartzkroin PA",1284975,,,10.1002/hipo.450020403,,,349,362,Mossy cell axonal projections to the dentate gyrus molecular layer in the rat hippocampal slice,1992 Oct,Hippocampus,2,1002: DG:MC: Dentate gyrus mossy cell ### 1031: DG:quad_MC: DG mossy cells,1
"Li XG, Somogyi P, Tepper JM, Buzsaki G",1385200,,,10.1007/BF00230934,,,519,525,Axonal and dendritic arborization of an intracellularly labeled chandelier cell in the CA1 region of rat hippocampus,1992,Exp Brain Res,90,,1
"Gulyas AI, Miettinen R, Jacobowitz DM, Freund TF",1584417,,,10.1016/0306-4522(92)90334-X,,,1,27,Calretinin is present in non-pyramidal cells of the rat hippocampus--I. A new type of neuron specifically associated with the mossy fibre system,1992,Neuroscience,48,,0
"Miettinen R, Gulyas AI, Baimbridge KG, Jacobowitz DM, Freund TF",1584423,,,10.1016/0306-4522(92)90335-Y,,,29,43,Calretinin is present in non-pyramidal cells of the rat hippocampus--II. Co-existence with other calcium binding proteins and GABA. ,1992,Neuroscience,48,,0
"Lingenhohl K, Finch DM",1713171,,,10.1007/BF00231762,,,57,74,Morphological characterization of rat entorhinal neurons in vivo: soma-dendritic structure and axonal domains,1991,Exp Brain Res,84,"6082: EC:excitatory: MEC layer IIb stellate cells, MEC layer II pyramids ### 6095: EC:HOBIPPY: EC layer IV pyramidal cell, EC layer V pyramidal cell, cell #7, cell #9 ### 6085: EC:PC_V-DG: EC cell no8, EC cell no13, EC layer V pyramidal cell, EC layer V spindle shaped cell ### 6050: EC:GN_IV-V: MEC layer IV/V globular / nonpyramidal cell; cell #19",1
"Gulyas AI, Toth K, Danos P, Freund TF",1721075,,,10.1002/cne.903120305,,,371,378,"Subpopulations of GABAergic neurons containing parvalbumin, calbindin D28k, and cholecystokinin in the rat hippocampus",1991 Oct 15,J Comp Neurol,312,"2022: CA3:CB: CA3 calbindin D28k positive nonpyramidal cells, CA3 CaBP positive nonpyramidal cells ### 4028: CA1:SCA-SR-CB: CA1 calbindin D28k positive nonpyramidal cells, CA1 CaBP positive nonpyramidal cells",1
"Frotscher M, Seress L, Schwerdtfeger WK, Buhl E",1744242,,,10.1002/cne.903120111,,,145,163,The mossy cells of the fascia dentata: a comparative study of their fine structure and synaptic connections in rodents and primates,1991 Oct 1,J Comp Neurol,312,1002: DG:MC: Dentate gyrus mossy cell,1
