Electrophysiological properties,,,,,,,,,,,,,PMID{Table_or_Figure#;Vrest ą SD (n)},PMID{Table_or_Figure#;Rin ą SD (n)},PMID{Table_or_Figure#;taum ą SD (n)},PMID{Table_or_Figure#;Vthresh ą SD (n)},PMID{Table_or_Figure#;FastAHP ą SD (n)},PMID{Table_or_Figure#;APampl ą SD (n)},PMID{Table_or_Figure#;APwidth ą SD (n)},PMID{Table_or_Figure#;MAxFR ą SD @Istimul (n)},PMID{Table_or_Figure#;SlowAHP ą SD @Istimul@time(n)},PMID{Table_or_Figure#;Sag_ratio ą SD @Istimul (n)},,PMID{Table_or_Figure#},PMID{Table_or_Figure#;Fr_adapt_ratio ą SD (n)@Istimul},PMID{Table_or_Figure#},,,,,"(0)-single pattern, (1)-neuron with 2 or more patterns, (2) - 2 or more subclasses, (3) -mixed evidences that could indicate  (1) or (2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morphology of axons and dendrites ,,,,,,,,,,
,Hippocampome 0.8 \alpha,,,,,,,,,,Hippocampome 1.7,NN/REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hippocampome 1.7,,,,,,,,,,
,CELL CLASSES__________________,,,,,,CELL SUBCLASSES,,,,,,stimulus-independent parameters,,,,,,,stimulus dependent parameters and characteristics,,,,,,,,,,,,,Transient w/o spike frequency adaptation,,,,,,,,,,,,,,Transient with spike frequency adaptation  (A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,120 (-1) neuronal classes,comments,Passive properties,,,Active properties ,,,,Firing properties,,,,,,,,,,,,,Classic ( C),,,Delay (D),,,Burst w/o slow wave (B),,,,Slow wave burst (W),,,,Classic ( C),,,,Delay (D),,,,Burst w/o slow wave (B),,,,Slow wave burst (W),,,,,,,,,120 neuronal classes,,Sources,,,,,,,,
Area,cell classes,Unique ID (* -EP Suppl),Rows,Print cc ,Modelability  (cc),Data quality,subclasses,Print csc,Modelability (csc),Literature Search,neuronal class,,Vrest (mV),Rin (mOm),tm (ms),Vthresh (mV),Fast AHP (mV),AP ampl (mV),AP width (ms),Max F R (s-1 @pA@time),Slow AHP {mV@pA@ms},Sag ratio {@pA},V-I resp,,Fr adapt,I/V char,Notes,Ref ID: (citation),,,Firing pattern analysis,V-I resp,Non-adapting spiking (C.NA),Stuttering (C.STUT),Repetetive slow-wave bursting (C.BST),Non-adapting spiking (D.NA),Stuttering (D.STUT),Repetetive slow-wave bursting (D.BST),Silence (B.SLN),Non-adapting spiking (B.NA),Stuttering (B.STUT),Repetetive slow-wave bursting (B.BST),Silence (W.SLN),Non-adapting spiking (W.NA),Stuttering (W.STUT),Repetetive slow-wave bursting (W.BST),Silence (C.A.SLN),Non-adapting spiking (C.A.NA),Stuttering (C.A.STUT),Repetetive slow-wave bursting (C.A.BST),Slilence (D.A.SLN),Non-adapting spiking (D.A.NA),Stuttering (D.A.STUT),Repetetive slow-wave bursting (D.A.BST),Silence (B.A.SLN),Non-adapting spiking (B.A.NA),Stuttering (B.A.STUT),Repetetive slow-wave bursting (B.A.BST),Silence (W.A.SLN),Non-adapting spiking (W.A.NA),Stuttering (W.A.STUT),Repetetive slow-wave bursting (W.A.BST),unidentified,NOTES,,,Area,neuronal class,,PMID #/ISBN ,Hippocampome Reference ID,Citation,Location in reference,Notes,,,,
   DG,Granule (+) 2201p,1-000*,2,1,2,F,,1,2,L,granule,7,9497429 {Table 1; -75 ą 2 (16)},9497429 {Tabl.1; 292 ą 34 (16)},9497429 {Tabl.1; 31 ą 2 (16)},9497429 {Fig.1C; 25.6},9497429 {Tabl.1; 11.7 ą 1.1 (16) },9497429 {Fig.1C; 69.4},9497429 {Table 1; 0.87 ą 0.06 (16)},9497429 {Table 1; 72 ą 8 (16)@250@1000},9497429 {Table 1; 0.6 ą 0.4 @250@1000(16)},9497429 {Table 1; 0.97 ą 0.01@-50(16)},9497429,9497429 (Fig.1B),9497429_@,9497429 (Fig.1C),PMID#949729 - Lubke et al. 1998 ," 9497429.1: (Fig.1, p.1520)  ",,,3,9497429,9497429(fig.1b){r},,,9497429(fig.1c){r},,,18077687 (Fig.2)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,   DG,granule,,17093119,17093119.1,"Mossy cells can have one dendrite in the molecular
layer (Buckmaster et al. 1996), which can be targeted by HIPP cell
axons, whereas granule cells have two primary dendrites (Claiborne et
al. 1990; Lubke et al. 1998).","p.1581, right middle",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9497429.2:(Table 1, p 1521)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978-0-19-510027-3,3084,Fig. 5-13,"p.163,  right",The Hippocampus Book,,,,
DG,Semilunar granule (+) 2311p,1-001*,1,1,2,F,,1,2,L,semilunar granule,2,18077687{p.13758;  -78.0 ą 8.1(11)},18077687{Fig.2A1; 187},18077687{Fig.2A1; 30},18077687{Fig.2A1; 37},18077687{p.13758; 8.0ą 0.8(15)},18077687{p.13758; 85.6 ą 2.3(11)},$ (not found),$ (not found),$ (not found),$ (not found),X_@,18077687,18077687_@,$ (not found),PMID#18077687 - Williams et al. 2007 ,"18077687.1: (Fig.2, p.13758)",,,0,X_@,,,,,,,,18077687 (Fig.2) {i},,,,,,,,,,,,,,,,,,,,,,,,,,,,semilunar granule,,18077687,2903,Figure 1,"p13757, Figure 1",,,,,
DG,Mossy (+)0103,1-002**,2,1,2,F,,1,2,L,mossy,8,9497429 {Table 1;-62 ą 1 (9)},9497429 {Table 1;199 ą 19 (9)},9497429 {Table 1;41 ą 3 (8)},9497429 {Fig.5C; 23.7},9497429 {Table 1;6.2 ą 0.9 (9)},9497429 {Fig.5c; 62.5},9497429 {Table 1;0.78 ą 0.04 (9)},9497429 {Table 1; 50 ą 6(9)@1000},9497429 {Table 1;2.8 ą 0.7@1000@1000 (9)},9497429 {Table 1;0.81 ą 0.03 (9)@-300},9497429,9497429 (Fig.5B),9497429,9497429 (Fig.5D),PMID#949729 - Lubke et al. 1998 ,"9497429.3: (Fig. 5, p. 1525)",,,1,9497429,,,,9497429(fig.5c){r},,,,,,,,,,,,9497429(fig.5b) {r},,,,,,,,,,,,,,,,,,,,mossy,,978-0-19-510027-3,3111,Figure 5-16,p.169,The Hippocampus Book,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9497429.2:(Table 1, p 1521)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,Total molecular (-) 3303,1-004,1,1,0,,,1,0,C,,,,,,,,,,,,,,,,,"Mott et el.,J Neurosci. 1997 Jun 1;17(11):3990-4005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,MOLAX (-)3302,1-005*,1,1,2,F,,1,2,L,total molecular layer,cA,9151716 {Table 1;  -54.5_ ą_1.9(13)},9151716 {Table 1; 198.2_ ą_23.8(13)},9151716 {Table 1; 18.4_ ą_1.1(13)},9151716 {Fig.10 bottom middle ; 15.2},9151716 {Fig.10 top middle ; 11},"9151716 {Fig.8A middle ; [43.2,44.4]}","9151716 {Fig.8A middle ; [1.26,1.64]}",9151716 {Fig.7 C ; 50@200@X},9151716 {Fig.10 bottom middle ; 4.5},$ (not found),X_@,9151716,9151716,$ (not found),"Mott et el.,J Neurosci. 1997 Jun 1;17(11):3990-4005.",,,,2,X_@,,,,,,,,9151716(Fig.11D){i}?,,,,,,,,"9151716(Fig.8A,10B, 11CD){r}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
