Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,,,
"Acsε_dy L, Kamondi A, Sεk A, Freund T, Buzsε_ki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig1.pdf,figure,612032,,,,
"Acsε_dy L, Kamondi A, Sεk A, Freund T, Buzsε_ki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig2A.pdf,figure,612034,,,,
"Acsε_dy L, Kamondi A, Sεk A, Freund T, Buzsε_ki G.",GABAergic cells are the  major  postsynaptic  targets  of  mossy  fibers  in  the  rat  hippocampus., J Neurosci ,1998,9547246,1000,Acsady-Buzsaki-1998-3386-JNeurosci-Fig8.pdf,figure,612036,,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1000,Amaral-Lavenex_-2007-37-THB-Fig17.pdf,figure,"611660, 611662, 611664, 611666, 611668, 611670",,,,
"Amaral D, Lavenex P",Chapter 3: Hippocampal neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,1000,Amaral-Lavenex_-2007-37-THB-Fig22.pdf,figure,611698,,,,
"Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),Progress in Brain Research,2007,17765709,1000,Amaral-Lavenex-2007-3-ProgBrainRes-Fig5.pdf,figure,612597,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig1.pdf,figure,612006,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig2A.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig2B.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig2D.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig3A.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig.3B,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Fig6A.pdf,figure,,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52A.pdf,figure,612002,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52B.pdf,figure,612002,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate52C.pdf,figure,612002,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate53A.pdf,figure,612003,,,,
"Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity",Progress in Brain Research,2007,17765713,1000,Blaabjerg-Zimmer-2007-85-ProgBrainRes-Plate53B.pdf,figure,612003,,,,
