v0.8 \beta,,0,Giorgio vetting queue,,103,Giorgio approved,,need email confirmation,0,,Status                                       -0.6=frozen email confirm     -0.5=frozen class                    -0.4=frozen Giorgio vetting    -0.3=frozen G vetting queue -0.1=frozen being vetted 0.0=being reinterpreted 0.1=being vetted        ,,0=has neither,,,,0,,updated PDF,N = active approved,,,Subregion->,Dentate gyrus,Dentate gyrus,Dentate gyrus,Dentate gyrus,CA3,CA3,CA3,CA3,CA3,CA2,CA2,CA2,CA2,CA1,CA1,CA1,CA1,Subiculum,Subiculum,Subiculum,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DCC vetting active,0,Giorgio merging queue,,53,frozen,,Frozen need email,7,,0.2=unapproved merger 0.3=Giorgio merging queue 0.4=Giorgio vetting queue ,,1=has PDF file only,,,,0,,,T = active unapproved,,,,Fascia dentata,Fascia dentata,Fascia dentata,,Regio inferior,Regio inferior,Regio inferior,Regio inferior,Regio inferior,,,,,Regio superior,Regio superior,Regio superior,Regio superior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DCC vetting frozen,0,Giorgio vetting,,0,virtual class,,Approved need email,0,,0.5=virtual class   0.6=Giorgio vetting      ,,2=has citations file only,,,,0,,,P = premerger unapproved,,,Pseudonym Layer->,,,principal cell layer,polymorphic layer,,,,principal cell layer,,,,principal cell layer,,,,principal cell layer,,,principal cell layer,,molecular layer,,,lamina dessicans,deep layer,deep layer,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,Giorgio merging,,0,not yet approved,,Unapproved merger,0,,0.7=DCC revetting      0.8=DCC merging    0.9=Giorgio merging  ,,3=has both,,,,155,,,M = merged unapproved,,,English Layer->,molecular layer outer two-thirds,molecular layer inner one-third,granular layer,hilar layer,lacunosum-moleculare layer,radiatum layer,lucidum layer,pyramidal layer,oriens layer,lacunosum-moleculare layer,radiatum layer,pyramidal layer,oriens layer,lacunosum-moleculare layer,radiatum layer,pyramidal layer,oriens layer,molecular layer,pyramidal layer,polymorphic layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,1031,23%,filled in,,,,,,,,,,,,,,,,,,,Dentate gyrus,Dentate gyrus,Dentate gyrus,Dentate gyrus,CA3,CA3,CA3,CA3,CA3,CA2,CA2,CA2,CA2,CA1,CA1,CA1,CA1,Subiculum,Subiculum,Subiculum,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,Entorhinal cortex,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,DWW,,Giorgio evaluating,,"SUM(F1:F6,J4) value should = J6",156,,1.0=Giorgio approved     1.1=needs packet cleanup 1.2=approved email confirm ,,0,need synonyms,,,155,,,S = suspended unapproved,,,Latin Layer->,stratum moleculare outer two-thirds,stratum moleculare inner one-third,stratum granulosum,hilus,stratum lacunosum-moleculare,stratum radiatum,stratum lucidum,stratum pyramidale,stratum oriens-alveus,stratum lacunosum-moleculare,stratum radiatum,stratum pyramidale,stratum oriens-alveus,stratum lacunosum-moleculare,stratum radiatum,stratum pyramidale,stratum oriens-alveus,stratum moleculare,stratum pyramidale,stratum multiforme,layer I,layer II,layer III,layer IV,layer V,layer VI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,being reinterpreted,,# of classes including all status types,156,,1.4=needs synonyms  1.5=back refs not formatted 1.6=need subclasses          1.7=Giorgio referencing Q ,,1,need subclasses,,,,,,X = suspended approved,,,Layer Abbreviation->,SMo,SMi,SG,H,SLM,SR,SL,SP,SO,SLM,SR,SP,SO,SLM,SR,SP,SO,SM,SP,PL,I,II,III,IV,V,VI,,,,,,,,,,,,,,,,,,,,,,,,,,
Class status,Cell number,unique ID,Subregion,"Axonal-dendritic pattern (ax=1, de=2)",p,Projection patterning,Hippocampome neuronal  class,Hippocampome  neuronal class abbreviation,Proposed NIF neuronal class,All-in-one class,2.0=all paperwork done 2.5=Giorgio referencing 3=vetting comments added 4=citations merged                                                                                         ,1 ref?,FLAG,subclassesm=markerse=ephys  b=both,Also known as (AKA),Abbreviation expansions,E/I,PC flag,Soma location,Soma PCL flag,Ax/De PCL flag,Defining / background references,Neurites \ Layer ID->,L101,L102,L103,L104,L201,L202,L203,L204,L205,L301,L302,L303,L304,L401,L402,L403,L404,L501,L502,L503,L601,L602,L603,L604,L605,L606,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
N,101,1-000,DG,2201,p,CA3 00110,granule,GC,Dentate gyrus granule cell,Granule,1,0,3,,,,E,1,"Stratum Granulosum (3600, 3627, 60225, 180108, 611096, 611098, 611102, 611103, 611107, 611108, 611109, 611112, 611117, 611118, 611295, 611371, 611459, 611670, 611698, 611900, 612032, 612036, 612132, 612133, 612475, 612595, 612597, 612603, 612624)",1,0,GC citations,axons,,,,"366, 408, 411, 1033, 1042, 1045, 1300, 1400, 1406, 3090, 3093, 3102, 3606, 3633, 3789, 60225, 170018, 180108, 611037, 611042, 611043, 611044, 611099, 611101, 611102, 611103, 611107, 611108, 611109, 611112, 611113, 611115, 611116, 611118, 611295, 611372, 611378, 611380, 611385, 611459, 611670, 611696, 611698, 611700, 611704, 611812, 611852, 611900, 611990, 611992, 612005, 612011, 612012, 612022, 612031, 612032, 612035, 612036, 612131, 612132, 612133, 612180, 612274, 612275, 612474, 612475, 612532, 612577, 612579, 612587, 612595, 612597, 612603, 612621, 612624",,,"1015, 1042, 2700, 3036, 3042, 3051, 3096, 3600, 3603, 3633, 3759, 60225, 170103, 611038, 611041, 611043, 611100, 611104, 611106, 611110, 611111, 611115, 611116, 611117, 611118, 611295, 611372, 611706, 611708, 611710, 611812, 611816, 611818, 612002, 612003, 612006, 612007, 612033, 612034, 612132, 612133, 612475, 612580, 612581, 612595, 612603, 612621","1015, 170103, 611100, 611102, 611103, 611104, 611107, 611110, 611111, 611112, 611115, 611116, 611117, 611118, 611710, 612002, 612003, 612007, 612034, 612580, 612581, 612595, 612603",,,,,,,,,,,,,"""-2730""","""-2730""","""-2730""","""-2730""","""-2730""","""-2730""",,,,,,,,,,,,,,,,,,,,,,,,,,
N,101,1-000,DG,2201,p,CA3 00110,granule,GC,Dentate gyrus granule cell,Granule,1,0,3,,,,E,1,"Stratum Granulosum (3600, 3627, 60225, 180108, 611096, 611098, 611102, 611103, 611107, 611108, 611109, 611112, 611117, 611118, 611295, 611371, 611459, 611670, 611698, 611900, 612032, 612036, 612132, 612133, 612475, 612595, 612597, 612603, 612624)",1,0,GC citations,dendrites,"393, 1330, 1433, 3081, 3627, 3789, 60222, 60225, 80135, 611094, 611096, 611097, 611102, 611103, 611107, 611112, 611118, 611122, 611123, 611124, 611126, 611127, 611128, 611131, 611132, 611133, 611134, 611295, 611374, 611381, 611390, 611459, 611464, 611656, 611670, 611688, 611860, 611900, 612132, 612133, 612150, 612151, 612181, 612475, 612532, 612575, 612591, 612592, 612593, 612594, 612595, 612597, 612603","381, 429, 441, 1306, 1409,  3081, 3105, 3627, 3642, 60222, 60225, 80110, 170019, 611094, 611095, 611096, 611097, 611098, 611102, 611103, 611107, 611108, 611109, 611112, 611118, 611122, 611123, 611125, 611126, 611127, 611129, 611130, 611133, 611134, 611135, 611295, 611374, 611379, 611386, 611459, 611670, 611680, 611900, 612032, 612132, 612133, 612151, 612475, 612532, 612575, 612595, 612597, 612603, 612624",,"""-3606, -612618, -612625""",,,,,,,,,,"~""-612051, -612056""","""-612051, -612056""","""-612051, -612056""","""-612051, -612056""","""-612051, -612056""","""-612051, -612056""","""-612051, -612056""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
