Source subregion,Source class name,Source class identity,Target subregion,Target class name,Target class identity,Target layer,Connection?
DG,Axo-axonic (-)2233,1010,DG,Granule (+)2201p,1000,DG:SG,1
DG,Axo-axonic (-)2233,1010,DG,Outer molecular (-)3222 ,1006,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,Aspiny hilar (-)2333 ,1027,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,HICAP (-)2322 ,1009,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,Axo-axonic (-)2233,1010,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,Basket (-)2232 ,1035,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,Basket-CCK (-)2232 ,1036,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,HICAL (-)1333p ,1026,"DG:SG, DG:H",0
DG,Axo-axonic (-)2233,1010,DG,Total molecular (-)3303 ,1004,DG:H,0
DG,Axo-axonic (-)2233,1010,DG,MOLAX (-)3302 ,1005,DG:H,0
DG,Axo-axonic (-)2233,1010,DG,HIPP (-)1002 ,1013,DG:H,0
DG,Axo-axonic (-)2233,1010,CA3,Interneuron spec-3 (-)03333p ,2042,DG:H,0
DG,Basket (-)2232,1035,DG,Granule (+)2201p,1000,DG:SG,1
DG,Basket (-)2232,1035,DG,Total molecular (-)3303 ,1004,DG:SG,1
DG,Basket (-)2232,1035,DG,MOLAX (-)3302 ,1005,DG:SG,1
DG,Basket-CCK (-)2232 ,1036,DG,Granule (+)2201p,1000,DG:SG,1
DG,Basket-CCK (-)2232 ,1036,DG,Total molecular (-)3303 ,1004,DG:SG,1
DG,Basket-CCK (-)2232,1036,DG,MOLAX (-)3302 ,1005,DG:SG,1
CA3,Axo-axonic (-)22232,2028,CA3,Basket (-)22232 ,2043,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Basket-CCK (-)22232 ,2044,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Interneuron spec-3 (-)03333p ,2042,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Bistratified (-)03333 ,2045,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Ivy (-)03333 ,2046,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Mossy fiber-assoc (-)03330p ,2036,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Mossy fiber-oriens (-)02332p ,2035,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA3,Spiny lucidum (-)01320p ,2019,CA3:SP,0
CA3,Axo-axonic (-)22232,2028,CA2,Basket-wide (-)2232p ,3007,CA3:SP,0
CA2,Basket-wide (-)2232p ,3007,CA2,Bistratified (-)0313p,3003,CA2:SP,1
CA2,Basket (-)2232,3006,CA2,Bistratified (-)0313p,3003,CA2:SP,1
CA1,Axo-axonic (-)2232,4036,CA2,Basket-wide (-)2232p ,3007,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Radiatum giant (+)2201 ,4054,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Quadrilaminar (-)3333 ,4003,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Perforant path assoc (-)3222 ,4076,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Trilaminar (-)2333 ,4013,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Oriens-alveus (-)2233 ,4055,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Basket (-)2232 ,4078,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Basket-CCK (-)2232 ,4079,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Interneuron spec-4 (-)2223 ,4020,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Back proj (-)1133p ,4023,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Bistratified (-)0333 ,4080,CA1:SP,0
CA1,Axo-axonic (-)2232,4036,CA1,Ivy (-)0333 ,4081,CA1:SP,0
CA1,Basket (-)2232 ,4078,CA1,Radiatum giant (+)2201 ,4054,CA1:SP,1
CA1,Basket (-)2232 ,4078,CA1,Interneuron spec-5 (-)2300,4056,CA1:SP,1
CA1,Basket (-)2232 ,4078,CA1,Interneuron spec-3 (-)2003,4022,CA1:SP,1
CA1,Basket (-)2232 ,4078,CA1,P-LM (-)1202,4066,CA1:SP,1
CA1,Basket (-)2232 ,4078,CA1,Perisomatic target (-)0012,4039,CA1:SP,1
CA1,Basket-CCK (-)2232 ,4079,CA1,Radiatum giant (+)2201 ,4054,CA1:SP,1
CA1,Basket-CCK (-)2232 ,4079,CA1,Interneuron spec-5 (-)2300,4056,CA1:SP,1
CA1,Basket-CCK (-)2232 ,4079,CA1,Interneuron spec-3 (-)2003,4022,CA1:SP,1
CA1,Basket-CCK (-)2232 ,4079,CA1,P-LM (-)1202,4066,CA1:SP,1
CA1,Basket-CCK (-)2232 ,4079,CA1,Perisomatic target (-)0012,4039,CA1:SP,1
EC,Axo-axonic II (-)030000 ,6048,EC,Superficial inhib III (-)333000 ,6038,EC:II,0
EC,Axo-axonic II (-)030000 ,6048,EC,Multipolar inhib III (-)233000 ,6040,EC:II,0
EC,Axo-axonic II (-)030000 ,6048,EC,Basket II (-)230000 ,6053,EC:II,0
EC,Axo-axonic II (-)030000 ,6048,EC,Pyramidal-like III (-)023300 ,6087,EC:II,0
EC,Axo-axonic II (-)030000 ,6048,EC,Multiform III (-)023000 ,6049,EC:II,0
