Suspended Flag,Reference ID,Marker Name,Cell Type,Material used,Location in reference,Protocol Reference,Location in reference,Species Reference,Location in references,Notes/Interpretations,Authors,Title,Journal/Book,Year,PMID/ISBN,Supporting References,,
,160102,SOM,CA1 O-LM; CA3 O-LM; DG HIPP,"""According to the characteristic soma location
and the distribution of axonal and dendritic arbors, the
majority of SOM [somatostatin]-containing GABA[gamma-aminobutyric acid]ergic neurons are considered
to be dendritic inhibitory cells of the hippocampus.
The dendritic inhibitory cells correspond with previously
reported oriens/alveus interneurons with lacunosum moleculare
axon arborization (O-LM [oriens-lacunosum moleculare] cells; Sik et al., 1995)
and hilar perforant path-associated neurons (HIPP cells; Han
et al., 1993).""",p 798 left,"""After incubation overnight in 1% bovine serum albumin in PBS
containing 0.05% sodium azide, sections were incubated for 10
days at 20 °C in mixtures of following primary antibodies raised in
different species: rabbit polyclonal anti-nNOS antibody (1:5000;
Zymed, San Francisco, CA, USA), sheep polyclonal anti-nNOS
antibody (1:10,000; gift from Dr. Emson, Babraham Institute,
Cambridge, UK; Herbison et al., 1996), rat monoclonal anti-SOM
antibody (1:200; Chemicon, Temecula, CA, USA), rabbit polyclonal
anti-SOM antibody (S309; 1:5000; gift from Dr. Benoit, Salk
Institute for Biological Studies, La Jolla, CA, USA; Benoit et al.,
1985), and mouse monoclonal anti-glutamic acid decarboxylase
(GAD) antibody (GAD6; 1:5000; Hybridoma Bank, Iowa City, IA,
USA). The penetration of the immunostaining was improved by
long duration incubation in highly diluted primary antibody.""",p 800 left top,"""Eighteen adult male C57BL/6J mice (2225 g
body weight, 811 weeks old) were used in this study. Animals
were deeply anesthetized with sodium pentobarbital
(100 mg/kg body weight) and perfused transcardially with phosphate-
buffered saline (PBS; pH 7.4) followed by two kinds of
fixatives: (A) a mixture of 4% paraformaldehyde, 0.1% glutaraldehyde
and 0.2% picric acid in 0.1 M phosphate buffer (PB;
pH 7.4); (B) 4% paraformaldehyde in 0.1 M PB.""",p 798 right bot,[m:CA1:1002 O-LM:Som(1):Sik 1995 PMID7472426]{sub 1},Jinno S and Kosaka T,Patterns of colocalization of neuronal nitric oxide synthase and somatostatin-like immunoreactivity in the mouse hippocampus:  quantitative analysis with optical disector,Neuroscience,2004,15026120,,,
,160106,nNOS,pyramidal; GC,"""The overall expression patterns of nNOS [neuronal nitric oxide synthase]
and SOM [somatostatin]-like immunoreactivity in the mouse hippocampus
were generally similar to those reported previously in
the rat hippocampus (Kohler and Chan-Palay, 1982; Sloviter
and Nilaver, 1987; Valtschanoff et al., 1993). Both of
the nNOS [neuronal nitric oxide synthase] and SOM [somatostatin]-like immunoreactivity were mainly
expressed in presumed GABA[gamma-aminobutyric acid]ergic nonprincipal neurons.
Although weak nNOS [neuronal nitric oxide synthase] immunoreactivity was also detected
in pyramidal cells and granule cells (Jinno et al., 1999),
these nNOS [neuronal nitric oxide synthase]-IR principal neurons were not evaluated
quantitatively in the present study.""",p 801 left top,"""After incubation overnight in 1% bovine serum albumin in PBS
containing 0.05% sodium azide, sections were incubated for 10
days at 20 °C in mixtures of following primary antibodies raised in
different species: rabbit polyclonal anti-nNOS antibody (1:5000;
Zymed, San Francisco, CA, USA), sheep polyclonal anti-nNOS
antibody (1:10,000; gift from Dr. Emson, Babraham Institute,
Cambridge, UK; Herbison et al., 1996), rat monoclonal anti-SOM
antibody (1:200; Chemicon, Temecula, CA, USA), rabbit polyclonal
anti-SOM antibody (S309; 1:5000; gift from Dr. Benoit, Salk
Institute for Biological Studies, La Jolla, CA, USA; Benoit et al.,
1985), and mouse monoclonal anti-glutamic acid decarboxylase
(GAD) antibody (GAD6; 1:5000; Hybridoma Bank, Iowa City, IA,
USA). The penetration of the immunostaining was improved by
long duration incubation in highly diluted primary antibody.""",p 800 left top,"""Eighteen adult male C57BL/6J mice (2225 g
body weight, 811 weeks old) were used in this study. Animals
were deeply anesthetized with sodium pentobarbital
(100 mg/kg body weight) and perfused transcardially with phosphate-
buffered saline (PBS; pH 7.4) followed by two kinds of
fixatives: (A) a mixture of 4% paraformaldehyde, 0.1% glutaraldehyde
and 0.2% picric acid in 0.1 M phosphate buffer (PB;
pH 7.4); (B) 4% paraformaldehyde in 0.1 M PB.""",p 798 right bot,"[m:CA1:2223 pyr:nNos(3):PCL]{sub 1}
[m:CA3:23223 pyr:nNos(3):PCL]{sub 1}",Jinno S and Kosaka T,Patterns of colocalization of neuronal nitric oxide synthase and somatostatin-like immunoreactivity in the mouse hippocampus:  quantitative analysis with optical disector,Neuroscience,2004,15026120,,,
,160108,SOM,DG non-hilar cells,"""On the
other hand, SOM [somatostatin]-LIR [like immunoreactive] neurons showed a quite uneven
distribution pattern. In the CA1 region, many SOM [somatostatin]-LIR
neurons were seen in the stratum oriens (SO), while they
were rarely found in the other layers. In the CA3 region,
SOM [somatostatin]-LIR neurons were more widely spread. They were
seen not only in the SO but also in the SP [stratum pyramidale], SL [statum lucidum] and SR [stratum radiatum]. In
the dentate gyrus, SOM [somatostatin]-LIR neurons were exclusively
found in the hilus.""",p 801 left mid,"""After incubation overnight in 1% bovine serum albumin in PBS
containing 0.05% sodium azide, sections were incubated for 10
days at 20 °C in mixtures of following primary antibodies raised in
different species: rabbit polyclonal anti-nNOS antibody (1:5000;
Zymed, San Francisco, CA, USA), sheep polyclonal anti-nNOS
antibody (1:10,000; gift from Dr. Emson, Babraham Institute,
Cambridge, UK; Herbison et al., 1996), rat monoclonal anti-SOM
antibody (1:200; Chemicon, Temecula, CA, USA), rabbit polyclonal
anti-SOM antibody (S309; 1:5000; gift from Dr. Benoit, Salk
Institute for Biological Studies, La Jolla, CA, USA; Benoit et al.,
1985), and mouse monoclonal anti-glutamic acid decarboxylase
(GAD) antibody (GAD6; 1:5000; Hybridoma Bank, Iowa City, IA,
USA). The penetration of the immunostaining was improved by
long duration incubation in highly diluted primary antibody.""",p 800 left top,"""Eighteen adult male C57BL/6J mice (2225 g
body weight, 811 weeks old) were used in this study. Animals
were deeply anesthetized with sodium pentobarbital
(100 mg/kg body weight) and perfused transcardially with phosphate-
buffered saline (PBS; pH 7.4) followed by two kinds of
fixatives: (A) a mixture of 4% paraformaldehyde, 0.1% glutaraldehyde
and 0.2% picric acid in 0.1 M phosphate buffer (PB;
pH 7.4); (B) 4% paraformaldehyde in 0.1 M PB.""",p 798 right bot,"[m:DG:non-hilar cells:Som(2):neg layer]{sub 1}
[m:DG:3303 TML:Som(2):neg layer]{sub 1}
[m:DG:3302 TML-Molax:Som(2):neg layer]{sub 1}
[m:DG:3222 OML:Som(2):neg layer]{sub 1}
[m:DG:3000p NGF:Som(2):neg layer]{sub 1}
[m:DG:3000 NGF-MOPP:Som(2):neg layer]{sub 1}",Jinno S and Kosaka T,Patterns of colocalization of neuronal nitric oxide synthase and somatostatin-like immunoreactivity in the mouse hippocampus:  quantitative analysis with optical disector,Neuroscience,2004,15026120,,,
,,,,,,,,,,,,,,,,,,
,160160,CCK; VIP; PV,"CA1 basket, axo-axonic","""Nevertheless, a direct
determination of several features of the same individual
cell, in particular axonal target patterns and neurochemical
properties, has provided clear delineation of
GABA[gamma-aminobutyric acid]ergic neurones with non-overlapping properties.
Firstly, two types of basket cell, which express either
parvalbumin (PV) (Kawaguchi et al., 1987; Kosaka et
al., 1987; Katsumaru et al., 1988) or cholecystokinin
(CCK) and vasoactive intestinal polypeptide (VIP)
(Harris et al., 1985; Hendry and Jones, 1985; Kosaka
et al., 1985; Nunzi et al., 1985; Acsa¨dy et al., 2000), and
have axons targeting preferentially the soma and proximal
dendrites of pyramidal neurones, have been identified. Secondly, axo-axonic cells target specifically the
axon initial segment of pyramidal neurones, and express
PV (Somogyi, 1977; Kosaka et al., 1985; Katsumaru et
al., 1988). Thirdly, GABAergic cells that innervate distal
dendrites and spines of pyramidal neurones show the
greatest diversity and express individually, or in combination,
somatostatin, neuropeptide Y, enkephalin and/or
calbindin (for review see Freund and Buzsaki, 1996).
And lastly, interneurone subtypes that mostly innervate
other interneurones express either VIP and/or calretinin
(Acsady et al., 1996; Gulyas et al., 1996).""",p 64 left mid,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160162,CCK; PV,CA1 basket,"""Because PV[parvalbumin]-expressing
basket cell bodies are located exclusively in
strata pyramidale and oriens (Kosaka et al., 1987), the
basket cells located in the other strata are likely to
express CCK, but this has been directly proven for
only one cell located in stratum oriens (Maccaferri et
al., 2000).""",p 64 right mid,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160164,CCK,CA1 SR basket cells,"""Of the 15 pro-CCK[cholecystokinin]-immunopositive interneurones
that had sufficient recovered axon for classification,
53% (n=8) were found to concentrate their axonal
arbor in the pyramidal cell layer and are therefore considered
to be basket cells (Fig. 2A, B). Their somata were
found scattered throughout the sampled width of stratum
radiatum (Fig. 3C). The soma was usually ovoid or
fusiform in shape with the long axis characteristically
orientated perpendicular to the strata (Figs. 1I, J and
2A, B).""",p 66 right top,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160166,CCK; CB,CA1 SC-assoc,"""Of the 15 pro-CCK[cholecystokinin]-immunopositive interneurones [in CA1]
that had suffcient axon recovery for classification, 47%
(n =7) were found to distribute their axons primarily
outside the pyramidal cell layer. Two of these cells
were also shown to be immunopositive for calbindin.
Both the dendritic and axonal patterns of these cells
were very similar to cells described in adult rats as
`Schaffer collateral-associated cells' (Vida et al., 1998;
Cossart et al., 2001b), and in young rats as radial trilaminar
cells (Hajos and Mody, 1997).""",p 66 right bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160168,CCK,CA1 pyr,"""All pyramidal cells in stratum pyramidale [of CA1] showed weaker [pro-cholecystokinin] immunoreactivity than
multipolar and spindle-shaped cells scattered throughout
all layers (Fig. 5A, B).""",p 70 right bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
,160170,,,"""One population of GABA[gamma-aminobutyric acid]ergic interneurone that
innervates the dendrites of pyramidal cells in strata radiatum
and oriens [of CA1] expresses the Ca2-binding protein calbindin
(Baimbridge and Miller, 1982; Baimbridge et al.,
1991; Gulyas and Freund, 1996). Gulyas et al. (1991)
showed that a few of these neurones express CCK[cholecystokinin] as
well in adult rats.""",p 70 right bot,,,,,,"Cope DW, Maccaferri G, Marton LF, Roberts DB, Cobden PM, Somogyi P",Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,Neuroscience,2002,11784700,,,
