Word count of material used ,Cross-checked,Entered in axon-dendrite spreadsheet,Altered,ReferenceID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,PMCID,Notes,Replaced,CellType Proofreadby,CellType Proofreaddate,CellType Unique ID,Figure filename,A-D check
80,MR,2,RW,363,DG 2232 Basket Cells,"""The somata of rat DG [dentate gyrus] basket cells are about twice as large as those of granule cells and are found in the GL [granule cell layer] or within 30-50 microm of it (Ribak and Seress, 1383; Seress, 1978).  Their axons form a distinctive plexus, resembling a curtain of beaded strings more closely than a basket, within and near the GL (Amaral, 1978; Buhl et al.; 1994a; Lorente de No, 1934; Ribak and Seress, 1983; Seress and Pokorny, 1981).""","p248, right bot","DG 2232 Basket Cells

<Ribak and Seress, 1983, is in this packet>, <Seress, 1978, to be mined)>, <Amaral, 1978, to be mined>, <Buhl et al., 1994a, to be mined>,
<Seress and Pokorny, 1981, to be mined>, [Y:DG:basket:S:DG:SG]{#4}, [Y:DG:basket:A:DG:SG]{#4},
<@@ unknown @@>","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,,basket unknown
140,MR,,RW,366,"DG 2232 Basket Cells, DG 2201-CA3 00110 granule cells","""The most distinctive of these are the pyramidal basket cells, which have large triangular somata located at or beneath the hilar margin of the GL [granule cell layer] and an axon originating from an apical dendrite.  Seress and his collaborators recognized four additional types with somata in the GL and inner ML [molecular layer] (Ribak and Seress, 1983; Seress and Pokorny, 1981).  All described basket cell types possess an apical dendritic arbor ascending into the ML, receiving perforant path (see Extrinsic input: The retrohippocampal region) and commissural associational input (see Intrinsic connections: Excitatory polymorphic cells), and a basal dendritic arbor, usually descending into the hilus and receiving input from granule cell axons (see Intrinsic connections: Granule cells).  Basket cells with somata in the ML are located furthest from the hilus and possess only one or two dendrites penetrating the GL.""","p249, left top","DG 2232 Basket Cells

<Ribak and Seress, 1983, is in this packet>,
<Seress and Pokorny, 1981, to be mined>,
[Y:DG:basket:S:DG:SG]{#4},
[Y:DG:basket:D:DG:SMo_SMi_H]{#4}
<@@ unknown @@>

DG 2201-CA3 00110 granule cells

[Y:DG:granule:A:DG:H]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81010,,,,,,basket unknown
200,MR,,RW,369,DG 2233 axo-axonic (AA) cells,"""Chandelier, or axo-axonic cells are found in the rat FD [fascia dentata] and hilus [of the dentate gyrus], and are the source of the numerous symmetric synapses on the axon initial segments of granule cells (Buhl et al., 19941; Han et al., 1993; Kosaka, 1983; Kosaka et al., 1984; Ribak and Seress, 1983; Soriano and Frotscher, 1989; Soriano et al., 1990; and as discussed in Frotscher, 1991).  These synapses appear GABA [gamma aminobutyric acid]ergic, since they are symmetric and stain GAD+ [glutamic acid decarboxylase positive] (Kosaka et al., 1984; Soriano et al., 1990).  That they are inhibitory has been demonstrated electrophysiologically by Buhl et al. (1994a).  Soriano and Frotscher (1989) and Soriano et al. (1990) described rat chandelier cells with somata in the innermost ML [molecular layer] and outermost GL [granular layer].  They possess large cell bodies (main axis 25-35 microm), smooth or sparsely spinous dendrites traversing the entire thickness of the ML, and sometimes also a small basal dendritic arbor extending to the hilus.  Han et al. (1993) described a chandelier [axo-axonic] cell located in the deeper portion of the hilus.  In addition to the GL, this cell's axon extended into the hilus, where it may contact polymorphic neurons.""","p250, left bot","369 DG 2233 axo-axonic (AA) cells

<synapse on axon initial segment of granule cells>, <chandelier cells>,
[Y:DG:axo-axonic:S:DG:SMi/SG/H]{#4}, [Y:DG:axoaxonic:D:DG:SMo_SMi]{#4}, [Y:DG:axo-axonic:A:DG:SG]{#4}
","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,"81015, 100036, 100037",,,,,1,DWW
57,MR,,RW,372,DG (-)3000 MOPP-neurogliaform (MOPP-NGF) cells,"""In intracellular labeling studies, Han et al. (1993) and Halasy and Somogyi (1993b) have recently described a cell, the MOPP [molecular layer perforant path-associated] cell, having both its dendritic and axonal arbor confined entirely to the outer two thirds of the ML [molecular layer].  The cell possessed a fairly round soma located within the ML inner third."" ","p250, right mid","MOPP-neurogliaform (MOPP-NGF) cells

[Y:DG:MOPP:D:DG:SMo]{#3}, [Y:DG:MOPP:A:DG:SMo]{#3}, [N:DG:MOPP:D:DG:SG_H]{#3}, [N:DG:MOPP:D:CA3:SLM_SR_SL_SP_SO]{#3}, [N:DG:MOPP:D:CA2:SLM_SR_ SP_SO]{#3}, [N:DG:MOPP:D:CA1:SLM_SR_SP_SO]{#3}, [N:DG:MOPP:D:SUB:SM_ SP_PL]{#3}, [N:DG:MOPP:D:EC:I_II_III_IV_V_VI]{#3}, [N:DG:MOPP:A:DG:SG_H]{#3}, [N:DG:MOPP:A:CA3:SLM_SR_SL_SP_SO]{#3}, [N:DG:MOPP:A:CA2:SLM_SR_ SP_SO]{#3}, [N:DG:MOPP:A:CA1:SLM_SR_SP_SO]{#3}, [N:DG:MOPP:A:SUB:SM_ SP_PL]{#3}, [N:DG:MOPP:A:EC:I_II_III_IV_V_VI]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,"81020, 100038",,,,,1,DWW
133,MR,,RW,375,DG 0103 mossy cells,"""Mossy cells are the most abundant and best characterized of all rat polymorphic neurons (Amaral, 1978; Buckmaster et al., 1992; Frotscher et al., 1991; Ribak et al., 1985).  They exhibit triangular or multipolar somata, 20-25 microm in diameter, and an extensive dendritic arbor within the hilus, which sometimes also extends into the ML [molecular layer of the dentate gyrus].  Their somata and proximal dendrites are covered with large complex spines called throny excrescences.  Their distal dendrites exhibit smaller spines, like those of pyramidal cells.  Synaptic terminals formed by mossy cells are asymmetric, which is suggestive of excitatory function (Buckmaster et al., 1992; Kibak et al., 1985).  In adjacent thin sections, mossy cells stain GLU+ [glutamate positive], and immunonegatively for GABA [gamma aminobutyric acid] (i.e., GABA-) (Soriano and Frotscher, 1994; Soriano et al., 1992).  Mossy cell axons arborize in the inner third of the ipsilateral and contralateral DG [dentate gyrus] ML [molecular layer] (Amaral et al., 1930; Ribak et al., 1985), a region that immunostains strongly for GLU [glutamate] (Storm-Mathisen et al., 1983) and is dense with kainate-displaceable GLU receptors (Monaghan et al., 1983).  They are thus likely to be excitatory neurons.""","p251, left mid","DG 0103 mossy cells

[Y:DG:mossy:S:DG:H]{#3}, [Y:DG:mossy:D:DG:H]{#3}, [Y:DG:mossy:A:DG:SMi]{#3}, <thorny excrescences on soma and proximal dendrites>, <spines on distal dendrites>, <form asymmetric synapses>, <Amaral (1978) is in this packet>, <Buckmaster (1992) is in this packet>, <Frotscher (1991) is in this packet>, <Ribak (1985) is in this packet>","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81030,,,,,,DWW
94,MR,,RW,378,"CA2 pyramidal 2333, CA3c Pyramidal Neurons 03223-CA10101-CA20101-DG0101","""The neurons of rodent DG [dentate gyrus] receive input from other hippocampal structures.  Pyramidal cells in all parts of rat CA3, as well as CA2, project their axons into the PL [polymorphic layer/hilus], (Ishizuka et al., 1990; Li et al., 1993).  In the portion of CA3 most proximal to the DG, pyramidal cells also project to the inner third of the ML [molecular layer] (Li et al., 1993).  Both the hilar and ML projections appear to be far more extensive for temporally located pyramidal cells than for septally located ones (Li et al., 1993).""","p255, left mid","CA3c Pyramidal Neurons
03223-CA10101-CA20101-DG0101

[Y:CA3:CA3c pyr:A:DG:SMi]{3}
<Li et al., 1993 actually refers to Li et al., 1994>

CA2 pyramidal 2333

[Y:CA2:pyramidal:A:DG:H]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81040,,,,,,DWW
24,MR,,RW,381,DG 2201-CA3 00110 granule cells,"""Granule cells may also receive direct excitatory input from CA3 pyramidal cells projecting to the ML [molecular layer of the dentate gyrus] inner third.""","p255, left bot","DG 2201-CA3 00110 granule cells

[Y:DG:granule:D:DG:SMi]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,,,,,,,DWW
44,MR,,MR,393,DG 2201-CA3 00110 granule cells,"""DG [dentate gyrus] granule cells possess roughly conical dendritic arbors extending into the outer two-thirds of the rat DG ML [molecular layer] and are a major recipient of PP [perforant pathway] input (Claiborne et al., 1990; Desmond and Levy, 1982, Green and Juraska, 1985).""","p256, right bot","DG 2201-CA3 00110 granule cells

[Y:DG:granule:D:DG:SMo]{#3}, <Claiborne (1990) is in this packet>","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81070,,,,,,DWW
65,MR,,RW,396,"basket, DG 2233 axo-axonic (AA) cells","""[Dentate gyrus] Basket cells and chandelier [axo-axonic] cells also send dendrites into the outer two-thirds of the ML [molecular layer] (basket: Ribak and Seress, 1983; Seress and Pokorny, 1981; Seress and Ribak, 1983; chandelier: Buhl et al., 1994b; Han et al., 1993: Soriano and Frotscher, 1989; Soriano et al., 1990).  Both receive asymmetric synapses in the ML (Ribak ;and Seress, 1983; Soriano et al., 1990).""","p257, left bot","DG 2233 axo-axonic (AA) cells

<chandelier cells>, [Y:DG:axo-axonic:D:DG:SMo]{#3}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81075,,,,,,DWW
62,MR,,RW,399,DG (-)1002 hilar perforant path-associated (HIPP) cells,"""In two intracellular labeling studies Buckmaster and Schwartzkroin (1994b) and Han et al. (1993) described hilar cells [in the dentate gyrus] whose axons, like those of SOM+ [somatostatin positive] GPP [gamma aminobutyric acidergic peptidergic polymorphic] cells, arborized in the PP [perforant pathway] terminal zone of the ML [molecular layer].  The dendritic arbors of these cells, however, were strictly confined to the hilus.""","p258, right mid","DG (-)1002 hilar perforant path-associated (HIPP) cells

<somatostatin positive GABAergic
 peptidergic polymorphic cell>,
[Y:DG:HIPP:S:DG:H]{#4},
[Y:DG:HIPP:D:DG:H]{#4},
[Y:DG:HIPP:A:DG:SMo]{#4},

[N:DG:HIPP:D:DG:SMo_SMi]{#4},
[N:DG:HIPP:D:CA3:SLM_SR_SL_SP_SO]{#4},
[N:DG:HIPP:D:CA2:SLM_SR_SP_SO]{#4},
[N:DG:HIPP:D:CA1:SLM_SR_ SP_SO]{#4},
[N:DG:HIPP:D:SUB:SM_ SP_PL]{#4},
[N:DG:HIPP:D:EC:I_II_III_IV_V_VI]{#4}","Patton PE, McNaughton B",Connection matrix of the hippocampal formation: I The dentate gyrus,Hippocampus,1995,8589792,,81090,,,,,1,DWW
