id,position,status,full_name,short_name,excit_inhib,subregion,abbreviation,short_name(old),soma_locs,p,dg,ca3,ca2,ca1,sub,ec
1000,101,active,DG (+)2201p-CA3 00110 granule cells (GC),Granule (+)2201p,+,DG,GC,DG:GC,10,1,2201,110,,,,
1001,102,active,DG (+)2311p-CA3 00100 semilunar granule cells (SGC),Semilunar granule (+)2311p,+,DG,SGC,DG:SGC,100,1,2311,100,,,,
1031,103,frozen,DG (+)2323 quadrilaminar mossy cells (quad MC),,+,DG,quad_MC,DG:quad_MC,,,,,,,,
1032,104,frozen,DG (+)0123p-CA3 02222 mossy cells projecting (MC proj),,+,DG,MC_proj,DG:MC_proj,,1,,,,,,
1002,105,active,DG (+)0103 mossy cells (MC),Mossy (+)0103,+,DG,MC,DG:MC,1,,103,,,,,
1004,106,active,DG (-)3303 total molecular layer (TML) cells,Total molecular (-)3303,-,DG,TML,DG:TML,10,,3303,,,,,
1005,107,active,DG (-)3302 total molecular layer-molecular layer-directed axons (TML-MOLAX) cells ,MOLAX (-)3302,-,DG,TML-MOLAX,DG:TML-MOLAX,10,,3302,,,,,
1024,108,frozen,DG (-)3300 VIP-positive stratum moleculare (VIP-SM) neurons,,-,DG,VIP-SM,DG:VIP-SM,,,,,,,,
1006,109,active,DG (-)3222 outer molecular layer (OML) cells,Outer molecular (-)3222,-,DG,OML,DG:OML,10,,3222,,,,,
1016,110,frozen,DG (-)3100p-CA1 3000 interneuron specific-1 (IS-1) neurons,,-,DG,IS-1,DG:IS-1,,1,,,,,,
1007,111,active,DG (-)3000p-SUB 100 neurogliaform (NGF) cells,Neurogliaform (-)3000p,-,DG,NGF,DG:NGF,1000,1,3000,,,,100,
1008,112,active,DG (-)3000 molecular layer perforant path associated-neurogliaform (MOPP-NGF) cells,MOPP (-)3000,-,DG,MOPP-NGF,DG:MOPP-NGF,1100,,3000,,,,,
1027,113,active,DG (-)2333 aspiny hilar interneurons,Aspiny hilar (-)2333,-,DG,aspiny_hilar_interneurons,DG:aspiny_hilar_interneurons,1,,2333,,,,,
1009,114,active,DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons,HICAP (-)2322,-,DG,HICAP,DG:HICAP,11,,2322,,,,,
1017,115,frozen,DG (-)2313p-CA3 03000-CA1 2000 interneuron specific-3 projecting (IS-3 proj) neurons,,-,DG,IS-3_proj,DG:IS-3_proj,,1,,,,,,
1010,116,active,DG (-)2233 axo-axonic (AA) cells ,Axo-axonic (-)2233,-,DG,AA,DG:AA,111,,2233,,,,,
1035,118,active,DG (-)2232 basket cells (BC),Basket (-)2232,-,DG,BC,DG:BC,10,,2232,,,,,
1036,119,active,DG (-)2232 basket cells CCK (BC CCK),Basket-CCK (-)2232,-,DG,BC_CCK,DG:BC_CCK,10,,2232,,,,,
1018,120,frozen,DG (-)2013 stratum granulosum interneuron specific-3 (SG IS-3) neurons,,-,DG,SG_IS-3,DG:SG_IS-3,,,,,,,,
1019,121,frozen,DG (-)2001 interneuron specific-3 (IS-3) neurons,,-,DG,IS-3,DG:IS-3,,,,,,,,
1026,122,active,DG (-)1333p-CA3 01111 hilar interneurons with collaterals in all layers (HICAL),HICAL (-)1333p,-,DG,HICAL,DG:HICAL,1,1,1333,1111,,,,
1034,123,frozen,DG (-)1220 outer molecular layer (OML) neurons,,-,DG,OML,DG:OML,,,,,,,,
1014,124,frozen,DG (-)1003 fusiform neurons,,-,DG,fusiform,DG:fusiform,,,,,,,,
1013,125,active,DG (-)1002 hilar perforant path-associated (HIPP) cell,HIPP (-)1002,-,DG,HIPP,DG:HIPP,1,,1002,,,,,
1020,126,frozen,DG (-)0003 hilar interneuron specific-3 (H IS-3) neurons,,-,DG,H_IS-3,DG:H_IS-3,,,,,,,,
,,,,,,,,,,,,,,,,
2000,201,active,CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC-ab),Pyramidal a/b (+)23223p,+,CA3,PC-ab,CA3:PC-ab,10,1,,23223,101,101,,
2004,202,active,CA3 (+)03223p-DG 0101-CA2 0101-CA1 0101 pryamidal cells c (PC-c),Pyramidal c (+)3223p,+,CA3,PC-c,CA3:PC-c,10,1,101,3223,101,101,,
2002,203,frozen,CA3 (+)22011 stratum oriens-targeting radiatum giant cells (SO RGC),,+,CA3,SO_RGC,CA3:SO_RGC,,,,,,,,
2001,204,active,CA3 (+)22100 granule cells (GC),Granule (+)22100,+,CA3,GC,CA3:GC,1100,,,22100,,,,
2003,204,active,CA3 (+)22010 radiatum giant cells (RGC),Radiatum giant (+)22010,+,CA3,RGC,CA3:RGC,1000,,,22010,,,,
2005,206,active,CA3 (-)33200 lacunosum moleculare-radiatum (LM-R) cells,LM-R (-)33200,-,CA3,LM-R,CA3:LM-R,11000,,,33200,,,,
2033,207,frozen,CA3 (-)30000 stratum lacunosum-moleculare (SLM) neurons,,-,CA3,SLM,CA3:SLM,,,,,,,,
2024,208,frozen,CA3 (-)23333 trilaminar cells radial (TriC rad),,-,CA3,TriC_rad,CA3:TriC_rad,,,,,,,,
2034,209,frozen,CA3 (-)23100 associational commissural-associated (ACA) neurons,,-,CA3,ACA,CA3:ACA,,,,,,,,
